Pattern,Total Trading Days,Mean Daily Return (%),Median Daily Return (%),Std Deviation (%),Win Rate (%),Min Daily Return (%),Max Daily Return (%),25th Percentile (%),75th Percentile (%),Skewness,Kurtosis
All Days,6433,0.06473010406594452,0.03761311591476968,2.2608469564192557,50.800559614487796,-26.77817727059559,16.90477729652855,-0.9787928221859588,1.0692310278739958,-0.32338113534066903,10.413512624796965
Wednesday,1285,0.1034703505794162,0.039999999999995595,2.141463559806112,51.050583657587545,-15.999481294171048,15.999344154779482,-0.9199845380750027,1.063170596484353,0.25229071065036723,7.667443912609432
Monday,1281,0.032892262778586694,0.03598244056899347,2.308910954271798,50.66354410616706,-11.143529411764707,15.179978371697821,-1.0719835186898674,1.1308756552376176,0.15456843671417325,5.19226598495797
April,497,-0.20015716580305887,-0.08621581542918033,3.371579212490966,47.68611670020121,-26.77817727059559,15.999344154779482,-1.273083897709193,0.9632128863735323,-1.5143262214897093,14.372774150264565
February,516,0.011856620282622238,0.003817959682350658,1.985636888978733,50.0,-7.999499467467475,9.886135180454225,-0.9051525153436185,0.9846968773589149,0.08194345345220298,4.149579518744923
Month-End (Last 5),1555,0.1494359221244837,0.05698546870547272,2.0430828003234485,51.76848874598071,-11.367619673567752,15.179978371697821,-0.7963852283074502,1.0880308567040586,0.3655570431602129,5.942105448901556
First Monday,310,0.2360884153822497,0.15523961553364218,2.1298082439485166,55.16129032258065,-11.143529411764707,8.090625621973068,-0.8080476181346968,1.18670274099259,-0.16144430410382787,4.534756799714611
