Weekday,Total_Days,Mean_Return,Median_Return,Std_Dev,Min_Return,Max_Return,Win_Rate,Avg_Win,Avg_Loss,10th_Percentile,25th_Percentile,Median,75th_Percentile,90th_Percentile,Skewness,Kurtosis
Monday,1281,-0.005918560787706469,0.01299376299377375,2.2178449038580013,-15.354166666666657,21.09102967998673,50.195160031225605,1.5238196203384333,-1.554956995664039,-2.3056343031981563,-1.0698365527488818,0.01299376299377375,1.1280724450194013,2.368909991742374,0.06407170317375975,10.671179956228183
Tuesday,1289,0.10905163809430245,0.044081020916464375,1.9419433536303705,-8.250000000000002,11.889067825175093,51.59038013964313,1.4373429748340467,-1.3149443818727182,-1.9632949260295416,-0.9119578141963403,0.044081020916464375,1.088987105299144,2.192345471371358,0.25686572478023206,4.163829286914092
Wednesday,1285,0.19682138550462946,0.1428163381891112,1.9638595503373992,-12.76430434541318,14.647513433666571,53.463035019455255,1.4595945717489658,-1.2580972993592126,-1.8107242006340751,-0.8729245438106159,0.1428163381891112,1.1467072657186383,2.1468988393586317,0.5363189018800596,7.912578800060338
Thursday,1285,0.007931996661606076,0.03478126449221186,2.0184110462437803,-8.032107165638958,13.915994908782348,50.42801556420233,1.4255449990467979,-1.438678021530963,-2.071481085379081,-1.06978073578049,0.03478126449221186,1.0655439471906059,2.098221660579195,0.2873205770962119,5.220212159631629
Friday,1263,0.11451827845514094,0.12937850400114304,2.170453016027118,-16.435169801289295,13.813451351170114,52.96912114014252,1.5415158517993435,-1.4951728822342627,-2.2214741293566864,-1.0041464672457645,0.12937850400114304,1.1580032400914653,2.5328274308138443,0.024099479004767558,6.527554597377
