Date,High,Low,Close,ATR
2000-01-03,122.4804688,117.2734375,122.4804688,
2000-01-04,132.2785156,125.0,132.1109375,
2000-01-05,131.2578125,121.5421875,121.5421875,
2000-01-06,120.3125,111.8191406,111.8191406,
2000-01-07,102.875,102.8738281,102.8738281,
2000-01-10,110.9375,94.64414063,107.03125,
2000-01-11,109.296875,98.46914063,98.46914063,
2000-01-12,104.21875,90.6328125,101.5703125,
2000-01-13,103.125,93.44492188,93.95351563,
2000-01-14,96.1953125,87.59375,94.3828125,
2000-01-17,101.546875,91.8046875,92.57617188,
2000-01-18,96.078125,89.0625,95.625,
2000-01-19,103.046875,96.0859375,101.5566406,
2000-01-20,105.453125,98.359375,98.69023438,9.607449775714286
2000-01-21,106.25,97.3984375,105.7382813,9.867773432857145
2000-01-24,114.196875,109.765625,111.71875,9.772098211428572
2000-01-25,113.28125,107.971875,112.8125,9.396428568571432
2000-01-27,116.78125,112.5,114.1875,9.007728790000002
2000-01-28,118.75,115.21875,117.96875,8.694670754285715
2000-01-31,117.1875,110.953125,112.578125,8.031975442142858
2000-02-01,115.38125,111.109375,115.09375,7.563699772857143
2000-02-02,117.1835938,113.90625,114.6875,6.827371651428572
2000-02-03,116.984375,114.8125,116.40625,6.3
2000-02-04,124.21875,116.796875,122.5625,6.243638392857143
2000-02-07,132.3671875,127.578125,132.3671875,6.248102678571429
2000-02-08,142.421875,136.703125,138.75,6.465178571428572
2000-02-09,142.1875,133.9882813,135.609375,6.5207031214285704
2000-02-10,144.90625,135.921875,144.140625,6.6780691928571425
2000-02-11,155.6710938,144.53125,155.6710938,6.8694196428571415
2000-02-14,168.1242188,168.1242188,168.1242188,7.154743307142856
2000-02-15,168.1242188,154.675,155.9375,7.736160721428568
2000-02-16,160.15625,147.65625,155.4617188,8.32321429285714
2000-02-17,165.625,156.234375,160.4171875,8.72327009285714
2000-02-18,165.609375,152.734375,153.75,9.141796878571425
2000-02-21,165.625,153.140625,160.546875,9.728404021428569
2000-02-22,164.046875,155.9375,156.09375,10.073549107142854
2000-02-23,159.0625,143.6070313,143.6070313,11.013448657142858
2000-02-24,149.984375,139.921875,148.3515625,11.174162942857143
2000-02-25,146.875,136.4835938,136.4992188,11.321540171428571
2000-02-28,138.90625,125.5796875,133.59375,11.555245528571428
2000-02-29,144.2804688,131.25,136.009375,11.900334821428569
2000-03-01,146.8898438,137.5,146.8898438,12.013448664285713
2000-03-02,158.640625,154.6875,158.640625,12.029185264285713
2000-03-03,171.33125,170.3125,171.33125,12.046149549999999
2000-03-06,185.0375,184.359375,185.0375,12.064508921428569
2000-03-07,199.8398438,199.8398438,199.8398438,12.228962049999998
2000-03-08,215.8265625,187.5,193.56875,13.526339285714288
2000-03-09,202.34375,182.03125,183.0921875,14.057589285714288
2000-03-10,197.7390625,179.53125,182.8125,14.466406250000002
2000-03-13,192.109375,168.1882813,168.1882813,15.595814728571428
2000-03-14,158.90625,154.7335938,154.7335938,15.452901785714285
2000-03-15,158.140625,142.3554688,151.6765625,15.861662942857139
2000-03-16,150.0,139.5429688,139.5429688,15.880636157142854
2000-03-21,150.70625,144.53125,150.70625,15.72611606428571
2000-03-22,162.7625,155.484375,162.7625,15.656529007142852
2000-03-23,175.7828125,157.96875,159.53125,16.151785699999998
2000-03-24,172.2929688,151.5625,166.7679688,16.793191957142852
2000-03-27,173.046875,161.265625,163.1507813,16.728236599999995
2000-03-28,161.71875,151.7429688,156.9875,16.564062492857143
2000-03-29,164.84375,157.03125,161.6109375,16.067912935714283
2000-03-30,158.6101563,148.6828125,151.1875,14.968024542857137
2000-03-31,150.015625,139.0929688,139.0929688,14.381026771428566
2000-04-03,137.5,127.965625,127.965625,13.875279007142852
2000-04-04,117.7289063,117.7289063,117.7289063,12.897823649999996
2000-04-05,127.146875,108.625,122.0390625,13.25976561428571
2000-04-06,131.8015625,114.2429688,131.8015625,13.386439721428568
