Date,Close,MA_20,MA_50,MA_100,MA_200
2000-01-03,122.4804688,,,,
2000-01-04,132.1109375,,,,
2000-01-05,121.5421875,,,,
2000-01-06,111.8191406,,,,
2000-01-07,102.8738281,,,,
2000-01-10,107.03125,,,,
2000-01-11,98.46914063,,,,
2000-01-12,101.5703125,,,,
2000-01-13,93.95351563,,,,
2000-01-14,94.3828125,,,,
2000-01-17,92.57617188,,,,
2000-01-18,95.625,,,,
2000-01-19,101.5566406,,,,
2000-01-20,98.69023438,,,,
2000-01-21,105.7382813,,,,
2000-01-24,111.71875,,,,
2000-01-25,112.8125,,,,
2000-01-27,114.1875,,,,
2000-01-28,117.96875,,,,
2000-01-31,112.578125,107.484277346,,,
2000-02-01,115.09375,107.114941406,,,
2000-02-02,114.6875,106.243769531,,,
2000-02-03,116.40625,105.98697265599999,,,
2000-02-04,122.5625,106.524140626,,,
2000-02-07,132.3671875,107.998808596,,,
2000-02-08,138.75,109.584746096,,,
2000-02-09,135.609375,111.4417578145,,,
2000-02-10,144.140625,113.57027343949999,,,
2000-02-11,155.6710938,116.656152348,,,
2000-02-14,168.1242188,120.343222663,,,
2000-02-15,155.9375,123.51128906899999,,,
2000-02-16,155.4617188,126.503125009,,,
2000-02-17,160.4171875,129.44615235400002,,,
2000-02-18,153.75,132.199140635,,,
2000-02-21,160.546875,134.93957032,,,
2000-02-22,156.09375,137.15832032,,,
2000-02-23,143.6070313,138.698046885,,,
2000-02-24,148.3515625,140.40625001,,,
2000-02-25,136.4992188,141.33277345,,,
2000-02-28,133.59375,142.3835547,,,
2000-02-29,136.009375,143.42933595,,,
2000-03-01,146.8898438,145.03945314,,,
2000-03-02,158.640625,147.15117189,,,
2000-03-03,171.33125,149.58960939000002,,,
2000-03-06,185.0375,152.223125015,,,
2000-03-07,199.8398438,155.277617205,,,
2000-03-08,193.56875,158.175585955,,,
2000-03-09,183.0921875,160.12316407999998,,,
2000-03-10,182.8125,161.48023439,,,
2000-03-13,168.1882813,161.483437515,134.4553359464,,
2000-03-14,154.7335938,161.423242205,135.1003984464,,
2000-03-15,151.6765625,161.23398439,135.4917109464,,
2000-03-16,139.5429688,160.19027345499998,135.8517265724,,
2000-03-21,150.70625,160.03808595499999,136.6294687604,,
2000-03-22,162.7625,160.148867205,137.8272421984,,
2000-03-23,159.53125,160.320742205,138.8772421984,,
2000-03-24,166.7679688,161.47878908,140.2432187618,,
2000-03-27,163.1507813,162.21875002,141.4748281378,,
2000-03-28,156.9875,163.24316408,142.7355078252,,
2000-03-29,161.6109375,164.644023455,144.08007032519998,,
2000-03-30,151.1875,165.402929705,145.2522968876,,
2000-03-31,139.0929688,165.013085955,146.12165626360002,,
2000-04-03,127.965625,163.479335955,146.6498359516,,
2000-04-04,117.7289063,160.79921876999998,147.03060939,,
2000-04-05,122.0390625,157.649296895,147.356625014,,
2000-04-06,131.8015625,154.24738283,147.758281264,,
2000-04-07,142.3453125,151.686210955,148.348937514,,
2000-04-10,153.7320313,150.21820314500002,149.13982814,,
2000-04-11,166.0296875,149.37906252,150.10104689,,
2000-04-12,157.30625,148.83496095499999,150.99560939,,
2000-04-13,144.721875,148.334375015,151.58817188999998,,
2000-04-17,133.1445313,147.407773455,151.957312516,,
2000-04-18,122.7734375,146.56929689,152.084656266,,
2000-04-19,112.9523438,144.68160158,151.892453142,,
2000-04-20,118.065625,142.44675783,151.606421892,,
2000-04-24,113.5703125,140.148710955,151.102828142,,
2000-04-25,113.9921875,137.50992189,150.670484392,,
2000-04-26,123.1109375,135.5079297,150.249890642,,
2000-04-27,124.4921875,133.883164075,149.62631251599998,,
2000-04-28,126.5625,132.13074220000001,148.79507814,,
2000-05-02,123.0,130.7213672,148.13632814,,
2000-05-03,120.3125,129.78234376,147.43334376399997,,
2000-05-04,127.6875,129.76843750999998,146.778750014,,
2000-05-05,132.8125,130.522617195,146.360000014,,
2000-05-08,118.0125,130.32128906999998,145.50931251400002,,
2000-05-09,123.828125,129.922617195,144.864000014,,
2000-05-10,120.3125,128.82097657,144.39810938800002,,
2000-05-11,112.34375,126.751562505,143.67795313800002,,
2000-05-12,106.71875,123.78601563,143.082343762,,
2000-05-15,108.90625,121.36601562999999,142.588593762,,
2000-05-16,108.28125,119.54398437999998,142.034031262,,
2000-05-17,109.2695313,118.35023438,141.28162501199998,,
2000-05-18,108.34375,117.628750005,140.275687512,,
2000-05-19,100.890625,117.025664065,138.866875012,,
