Date,Close,MA_20,MA_50,MA_100,MA_200,RSI_14,MACD,MACD_Signal,MACD_Histogram,BB_Upper,BB_Middle,BB_Lower,BB_Width,ATR_14,ATR_Percent,Volume,Volume_MA_20,Volume_Ratio
2000-01-03,25.4,,,,,,0.0,0.0,0.0,,,,,,,5731.82,,
2000-01-04,27.43,,,,,,0.16193732193731947,0.03238746438746389,0.12954985754985557,,,,,,,11491.3,,
2000-01-05,28.74,,,,,,0.39146727705131923,0.10420342692023496,0.28726385013108424,,,,,,,19501.03,,
2000-01-06,29.49,,,,,,0.6266663327440405,0.20869600808499608,0.4179703246590444,,,,,,,11969.53,,
2000-01-07,31.56,,,,,,0.9689258056344165,0.3607419675948802,0.6081838380395364,,,,,,,15282.95,,
2000-01-10,30.93,,,,,,1.1757795145299035,0.5237494769818849,0.6520300375480186,,,,,,,10577.7,,
2000-01-11,29.05,,,,,,1.1744736794533779,0.6538943174761835,0.5205793619771943,,,,,,,10047.01,,
2000-01-12,30.58,,,,,,1.2821175559096183,0.7795389651628706,0.5025785907467477,,,,,,,7299.55,,
2000-01-13,31.06,,,,,,1.3901334983649747,0.9016578718032915,0.4884756265616832,,,,,,,11374.73,,
2000-01-14,31.8,,,,,,1.5179507353500519,1.0249164445126437,0.49303429083740813,,,,,,,12638.27,,
2000-01-17,31.11,,,,,,1.5457511263172776,1.1290833808735705,0.4166677454437071,,,,,,,6237.25,,
2000-01-18,32.21,,,,,,1.6376659497096355,1.2307998946407837,0.4068660550688519,,,,,,,9552.8,,
2000-01-19,31.91,,,,,,1.667084504222629,1.318056816557153,0.3490276876654761,,,,,,,7978.95,,
2000-01-20,31.3,,,,,70.89235127478754,1.6224741465992132,1.378940282565565,0.24353386403364818,,,,,1.8264285714285715,5.835235052487449,9849.38,,
2000-01-21,32.81,,,,,73.70441458733205,1.6894891183005392,1.4410500497125598,0.24843906858797937,,,,,1.8499999999999999,5.6385248399878085,12712.07,,
2000-01-24,33.03,,,,,70.26049204052099,1.74029014606311,1.5008980689826699,0.23939207708044008,,,,,1.7557142857142853,5.315514034860082,9245.68,,
2000-01-25,32.57,,,,,64.76484194294527,1.7235639980587045,1.545431254797877,0.1781327432608275,,,,,1.5728571428571425,4.829159173647966,6857.94,,
