Date,Day,Open,High,Low,Close,Volume,Overnight,Intraday,Previous day,Unnamed: 10,No of Trades,Value,Market Cap,TTM PE(x),Cons TTM PE(x),SENSEX,P/BV(x),Cons P/BV(x),EV/EBIDTA(x),Cons EV/EBIDTA(x),MCAP/Sales(x),Cons MCAP/Sales(x),MA_20,MA_50,MA_100,MA_200,Golden_Cross,Death_Cross,RSI_14,MACD,MACD_Signal,MACD_Histogram,MACD_Bullish_Cross,MACD_Bearish_Cross,BB_Middle,BB_Upper,BB_Lower,BB_Width,H-L,H-PC,L-PC,TR,ATR_14,ATR_Percent,Volume_MA_20,Volume_Ratio,Daily_Return,Cumulative_Return,Running_Max,Drawdown,Week,Month,Year,Return_Sign,Streak,Rolling_30D,Rolling_90D,Rolling_365D
2000-01-03,Monday,24.16,25.4,24.16,25.4,5731.82,,,,,10459.0,143.13,23563.36,13.83,,5375.11,2.52,,7.15,,2.71,,,,,,0,0,,0.0,0.0,0.0,0,0,,,,,1.2399999999999984,,,1.2399999999999984,,,,,,,,,2000-01-03/2000-01-09,2000-01,2000,0,0,,,
2000-01-04,Tuesday,25.68,27.43,25.27,27.43,11491.3,,,,,18817.0,304.69,25444.88,14.94,,5491.01,2.72,,7.6,,2.93,,,,,,0,0,,0.16193732193731947,0.03238746438746389,0.12954985754985557,1,0,,,,,2.16,2.030000000000001,0.129999999999999,2.16,,,,,7.992125984251963,1.0799212598425196,1.0799212598425196,0.0,2000-01-03/2000-01-09,2000-01,2000,1,1,,,
2000-01-05,Wednesday,27.38,28.87,25.54,28.74,19501.03,,,,,31545.0,531.86,26658.76,15.65,,5357.0,2.85,,7.88,,3.07,,,,,,0,0,,0.39146727705131923,0.10420342692023496,0.28726385013108424,0,0,,,,,3.330000000000002,1.4400000000000013,1.8900000000000006,3.330000000000002,,,,,4.775792927451694,1.131496062992126,1.131496062992126,0.0,2000-01-03/2000-01-09,2000-01,2000,1,2,,,
2000-01-06,Thursday,28.98,30.15,28.98,29.49,11969.53,,,,,21293.0,352.26,27354.41,16.06,,5421.53,2.93,,8.05,,3.15,,,,,,0,0,,0.6266663327440405,0.20869600808499608,0.4179703246590444,0,0,,,,,1.1699999999999982,1.4100000000000001,0.240000000000002,1.4100000000000001,,,,,2.609603340292277,1.161023622047244,1.161023622047244,0.0,2000-01-03/2000-01-09,2000-01,2000,1,3,,,
2000-01-07,Friday,29.56,31.85,29.41,31.56,15282.95,,,,,24265.0,470.25,29273.28,17.18,,5414.48,3.13,,8.5,,3.37,,,,,,0,0,,0.9689258056344165,0.3607419675948802,0.6081838380395364,0,0,,,,,2.4400000000000013,2.360000000000003,0.0799999999999983,2.4400000000000013,,,,,7.019328585961349,1.24251968503937,1.24251968503937,0.0,2000-01-03/2000-01-09,2000-01,2000,1,4,,,
2000-01-10,Monday,32.01,32.72,30.9,30.93,10577.7,,,,,20598.0,332.15,28689.68,16.84,,5518.39,3.07,,8.36,,3.3,,,,,,0,0,,1.1757795145299035,0.5237494769818849,0.6520300375480186,0,0,,,,,1.8200000000000003,1.1600000000000001,0.6600000000000001,1.8200000000000003,,,,,-1.9961977186311763,1.2177165354330708,1.24251968503937,-1.9961977186311823,2000-01-10/2000-01-16,2000-01,2000,-1,-1,,,
2000-01-11,Tuesday,31.11,31.41,28.46,29.05,10047.01,,,,,17157.0,298.49,26943.56,15.81,,5296.3,2.88,,7.95,,3.1,,,,,,0,0,,1.1744736794533779,0.6538943174761835,0.5205793619771943,0,0,,,,,2.9499999999999993,0.4800000000000004,2.469999999999999,2.9499999999999993,,,,,-6.078241189783373,1.1437007874015748,1.24251968503937,-7.9531051964512045,2000-01-10/2000-01-16,2000-01,2000,-1,-2,,,
2000-01-12,Wednesday,29.19,30.6,28.39,30.58,7299.55,,,,,15758.0,214.02,32013.14,18.79,,5491.2,3.38,,9.14,,3.68,,,,,,0,0,,1.2821175559096183,0.7795389651628706,0.5025785907467477,0,0,,,,,2.210000000000001,1.5500000000000007,0.6600000000000001,2.210000000000001,,,,,5.266781411359722,1.2039370078740157,1.24251968503937,-3.1051964512040575,2000-01-10/2000-01-16,2000-01,2000,1,1,,,
2000-01-13,Thursday,30.65,31.79,30.58,31.06,11374.73,,,,,24188.0,353.43,32508.4,19.08,,5444.82,3.43,,9.26,,3.74,,,,,,0,0,,1.3901334983649747,0.9016578718032915,0.4884756265616832,0,0,,,,,1.2100000000000009,1.2100000000000009,0.0,1.2100000000000009,,,,,1.5696533682145297,1.2228346456692913,1.24251968503937,-1.584283903675536,2000-01-10/2000-01-16,2000-01,2000,1,2,,,
2000-01-14,Friday,31.21,32.26,31.11,31.8,12638.27,,,,,20915.0,398.38,33288.18,19.54,,5471.27,3.52,,9.45,,3.83,,,,,,0,0,,1.5179507353500519,1.0249164445126437,0.49303429083740813,0,0,,,,,1.1499999999999986,1.1999999999999993,0.05000000000000071,1.1999999999999993,,,,,2.3824855119124244,1.2519685039370079,1.2519685039370079,0.0,2000-01-10/2000-01-16,2000-01,2000,1,3,,,
2000-01-17,Monday,32.01,32.92,31.1,31.11,6237.25,,,,,15704.0,198.25,32561.09,19.11,,5404.07,3.44,,9.27,,3.74,,,,,,0,0,,1.5457511263172776,1.1290833808735705,0.4166677454437071,0,0,,,,,1.8200000000000003,1.120000000000001,0.6999999999999993,1.8200000000000003,,,,,-2.169811320754722,1.2248031496062992,1.2519685039370079,-2.1698113207547167,2000-01-17/2000-01-23,2000-01,2000,-1,-1,,,
2000-01-18,Tuesday,31.16,32.41,31.01,32.21,9552.8,,,,,17868.0,301.04,33720.22,19.79,,5464.51,3.56,,9.55,,3.88,,,,,,0,0,,1.6376659497096355,1.2307998946407837,0.4068660550688519,0,0,,,,,1.399999999999995,1.2999999999999972,0.09999999999999787,1.399999999999995,,,,,3.535840565734505,1.2681102362204726,1.2681102362204726,0.0,2000-01-17/2000-01-23,2000-01,2000,1,1,,,
