Total Trading Days,Mean Daily Return (%),Median Daily Return (%),Std Deviation (%),Min Daily Return (%),Max Daily Return (%),Win Rate (%),Average Win (%),Average Loss (%),10th Percentile (%),25th Percentile (%),50th Percentile (%),75th Percentile (%),90th Percentile (%),Skewness,Kurtosis,Year
51,-0.29909391574300015,-0.7612556147498117,4.327355164524231,-7.999905382550187,11.563322959061528,43.13725490196079,3.550080274742186,-3.219157094731761,-5.254143178460168,-2.9356488236688962,-0.7612556147498117,1.9620116615614691,6.181018474575151,0.4397847555083128,0.39837317161053143,2000
50,-0.01905516623525112,-0.6053999897271567,5.492067562060546,-15.999481294171048,15.999344154779482,42.0,4.880596585624436,-3.567078848616403,-5.7302020324615315,-3.0553625111149674,-0.6053999897271567,3.2355140359218493,6.7696577150109745,0.23354545545455235,1.4089724393732705,2001
48,-0.13578597759562697,0.05486114704727485,2.6652290972874075,-8.170984455958552,4.7680501783161855,50.0,1.909873644963526,-2.1814456001547797,-3.3771514505138343,-1.902033452660662,0.05486114704727485,1.478891677660582,3.5594075584069853,-0.3552530050178313,0.5433150532296716,2002
52,0.1979642900029382,-0.0320834722958796,2.467988475014354,-6.113098348137136,5.690829694323152,48.07692307692308,2.151600267926886,-1.6109579117784951,-2.4964852731262233,-1.4184595966016122,-0.0320834722958796,1.2885654850976203,3.540045926592467,0.1519066642248057,0.38942915392994015,2003
50,-0.18264665532742974,-0.37716188179438004,1.4477645944094792,-2.735499794323315,2.9883668517612705,48.0,1.0964098036025012,-1.3633141558781352,-1.8883661921763462,-1.3358819283790817,-0.37716188179438004,0.8118647225699049,1.774607094706522,0.2240216926166703,-0.7654606862572275,2004
49,0.009404135053472193,-0.01373594926856736,1.4577209198787202,-3.4298181080189782,3.2509287020799027,48.97959183673469,1.1268581233664607,-1.0633516937269967,-1.7492515207911152,-0.920507898327827,-0.01373594926856736,0.7440890125173905,2.1365811250314297,0.22583397230521596,0.04016134912945635,2005
49,0.24271111290513506,0.2545722516245741,2.083176516858434,-5.96543041593306,7.482464214301587,55.10204081632652,1.539881717710949,-1.3492709929929096,-1.640813327100987,-0.7949825323907311,0.2545722516245741,1.1201217627054172,2.557047592976418,0.24774982997354333,3.3301786951773544,2006
50,-0.220644313654875,-0.2568443947309651,2.458508162765932,-5.776036741861413,5.720775447678417,38.0,2.129137475223987,-1.6608331519999837,-3.165005916893898,-1.1404408318548276,-0.2568443947309651,0.9933716978590856,3.071950028582323,0.22925484550204622,0.3495642888694386,2007
52,0.4823773624761461,0.42303870936774013,2.715531271979025,-6.246702870442212,6.44604905428714,61.53846153846154,2.0927109006257423,-2.094156298563208,-3.0824602207410265,-0.7796901843417525,0.42303870936774013,1.8157013888795814,4.067729280185373,-0.1136894434837359,0.0716245000904494,2008
51,0.6664756046602068,0.5196366078687786,2.084853019761682,-2.7180469803420593,6.068119005039829,64.70588235294117,1.8001251306137918,-1.411881859588033,-1.8960831334932093,-0.8883790725055407,0.5196366078687786,1.6016187866915277,3.881882033079087,0.6137808980643721,-0.022251661064898176,2009
49,0.34277431606305653,0.23072071174849995,1.3239098142452597,-1.8960397810610652,3.818431274034295,61.224489795918366,1.11241869471844,-0.8724536502349173,-1.213322207626961,-0.6191706268609765,0.23072071174849995,0.7817919346069679,2.483769498748174,0.6690574420737577,0.2923957273923148,2010
49,0.3712464957256044,-0.017821268874329554,1.7165043071133503,-2.666030148908427,6.826877092300343,44.89795918367347,1.6595010992788142,-0.6784424405029367,-1.3982896517465182,-0.5169090590502856,-0.017821268874329554,0.8262741285932407,2.1145084288865332,1.6909696397640301,4.711999133497439,2011
47,0.07450982384785129,0.22802128198633476,0.9950707710190517,-1.9347137035359951,2.387158977288961,57.446808510638306,0.7696360566461692,-0.8639105904298777,-1.2903098697926407,-0.3680917632132852,0.22802128198633476,0.7813223190540564,1.1186129444894677,-0.20387527548686063,-0.3409173173728841,2012
46,-0.012968585980543956,-0.09676538094289255,1.0350242931204998,-2.0210594393581083,2.4782350613375526,45.65217391304348,0.8243692046934774,-0.716332330146722,-1.2585185830215895,-0.5483217118851691,-0.09676538094289255,0.43292827041023774,1.4077927195578765,0.43729206845922064,0.3616543389072322,2013
52,0.1851186045881965,0.11407118988233655,1.582222175398709,-4.701981568023406,3.6368675013041196,59.61538461538461,1.0562342015967423,-1.100813943376799,-1.7705376842170024,-0.2861481646847963,0.11407118988233655,0.7973310556964763,2.2221008825565387,-0.3749053071506731,1.6404527048721147,2014
51,0.23607595890554087,0.3025917642415221,1.594622510230801,-3.887475261521056,3.509945589153518,60.78431372549019,1.272433088379506,-1.370277591779105,-1.9466175793833473,-0.826607455387629,0.3025917642415221,1.304621172589704,2.014276627323497,-0.21840814945208817,-0.19326516295766538,2015
50,0.19563923768966482,0.07059133889855129,1.161013359224743,-2.74216524216524,3.076043997904865,54.0,1.0229950699904293,-0.7756045654460154,-1.419143679840228,-0.5815692132772499,0.07059133889855129,0.9377195787783288,1.5663522487991057,0.1124605106449199,0.2687527367902143,2016
52,-0.347042711772227,-0.37999575097721894,0.8607043905125505,-2.212560386473428,1.9779969218491678,26.923076923076923,0.6538926189855996,-0.7158083599461632,-1.3898623839218527,-0.7825762286182536,-0.37999575097721894,0.023660662215907458,0.5988374057229294,0.16746574250800084,0.6897799004769065,2017
50,0.018010862072920446,-0.17149597278400264,1.4809651758941973,-3.1430354078926803,4.607535321821032,44.0,1.2829603389953446,-0.9758780126518413,-1.6298766634181916,-0.8169356471028455,-0.17149597278400264,0.8679960370079509,1.3824064494157895,0.7778676951913427,1.574931588238349,2018
