Weekday,Count,Avg_Return_%,Median_Return_%,Std_Dev_%,Win_Rate_%,Avg_Win_%,Avg_Loss_%,Avg_Intraday,Avg_Overnight,Avg_Volume,Max_Gain_%,Max_Loss_%
Monday,1282,-0.0059185607877062,0.012993762993769644,2.2178449038580017,50.15600624024961,1.5238196203384335,-1.5549569956640386,-0.6255538221528859,-0.3851366120218579,1541.7404446177848,21.091029679986733,-15.35416666666666
Tuesday,1289,0.10905163809430227,0.04408102091645445,1.9419433536303707,51.59038013964313,1.4373429748340467,-1.3149443818727182,-0.47033359193173,-0.8897517455391777,1265.967416602017,11.88906782517509,-8.249999999999996
Wednesday,1285,0.19682138550462963,0.14281633818910103,1.9638595503373992,53.463035019455255,1.4595945717489665,-1.2580972993592126,-0.07967315175097277,-0.7557120622568093,1672.375252918288,14.647513433666578,-12.764304345413175
Thursday,1285,0.007931996661606142,0.034781264492205845,2.0184110462437803,50.42801556420233,1.4255449990467983,-1.4386780215309627,-0.5991128404669261,-0.4273385214007782,1631.8850038910505,13.915994908782356,-8.03210716563896
Friday,1263,0.11451827845514115,0.12937850400114131,2.170453016027118,52.96912114014252,1.5415158517993437,-1.4951728822342627,-0.09906571654790182,-0.5845526524148853,1442.2383768804432,13.813451351170118,-16.435169801289295
