Date,Open (Unit Curr),High (Unit Curr),Low (Unit Curr),Close (Unit Curr),Volume (000's),No of Trades,Value,Market Cap,TTM PE(x),Cons TTM PE(x),SENSEX,P/BV(x),Cons P/BV(x),EV/EBIDTA(x),Cons EV/EBIDTA(x),MCAP/Sales(x),Cons MCAP/Sales(x)
07-Aug-25,1435,1442.7,1414.55,1437.65,195.425,6380,27.867892,597253.0432,23.0478526,21.90416652,80623.26,6.465155373,5.873819348,15.05498036,13.15414304,4.309612322,3.598822592
06-Aug-25,1455.7,1455.7,1430.3,1435.75,96.277,5059,13.8845273,596463.7128,23.01739253,21.87521795,80543.99,6.456611016,5.866056501,15.03459682,13.13601627,4.303916733,3.594066383
05-Aug-25,1475.2,1479.9,1454.75,1459.75,491.243,8755,71.7027926,606434.2015,23.40215131,22.24088414,80710.25,6.564539739,5.964113514,15.29207311,13.36498592,4.375861014,3.654144804
04-Aug-25,1466,1482.5,1451.2,1480.35,144.987,10425,21.2448618,614977.7485,23.7324026,22.55474762,81018.72,6.65717856,6.048279117,15.51307359,13.5615182,4.437613188,3.705712116
01-Aug-25,1496.95,1498.75,1466.1,1470.6,150.754,8360,22.3127194,610927.3327,23.57609434,22.40619573,80599.91,6.613332516,6.008443455,15.40847384,13.46849928,4.408385824,3.681305257
31-Jul-25,1507.55,1526.7,1497.1,1508.6,827.621,11605,124.9277108,626713.5687,24.18529575,22.98516719,81185.58,6.784219661,6.163700392,15.81614463,13.83103455,4.522297603,3.776429424
30-Jul-25,1510.05,1521.5,1505.7,1519.05,159.917,6779,24.2236009,631054.7836,24.35282613,23.14438435,81481.86,6.831213626,6.20639605,15.9282541,13.93073176,4.553623342,3.80258857
29-Jul-25,1510.45,1517.2,1496.6,1513.85,341.189,19794,51.4513737,628894.5618,24.26946173,23.06515667,81337.95,6.80782907,6.185150364,15.87246757,13.88112167,4.538035414,3.789571579
28-Jul-25,1518.95,1519.35,1482.7,1516.1,287.153,16177,43.2765829,629829.2731,24.30553287,23.09943788,80891.02,6.817947387,6.194343209,15.89660597,13.90258757,4.54478019,3.795203931
25-Jul-25,1543,1549.75,1511.35,1515.6,463.2,30329,70.6154952,629621.5595,24.29751706,23.09181983,81463.09,6.815698872,6.192300354,15.89124188,13.89781737,4.543281351,3.793952297
24-Jul-25,1581,1581,1548.2,1553.55,380.211,14311,59.2306295,645387.0241,24.90591688,23.67002949,82184.17,6.986361166,6.347353005,16.29837627,14.25987562,4.657043246,3.8889513
23-Jul-25,1579.8,1592.4,1551,1574.4,239.856,11330,37.9022699,654048.6826,25.24017607,23.98770199,82726.64,7.080124244,6.432540035,16.52205879,14.458793,4.71954484,3.941144429
22-Jul-25,1579.95,1585.6,1567,1570.1,571.499,21780,89.9307399,652262.3453,25.17124012,23.9221868,82186.81,7.060787015,6.414971487,16.47592762,14.41776928,4.706654823,3.930380378
21-Jul-25,1579.15,1589,1568.25,1584.6,120.472,7358,19.0223513,658286.0406,25.40369855,24.14311012,82200.34,7.125993952,6.474214266,16.63148621,14.5561051,4.750121159,3.966677758
18-Jul-25,1588.05,1599,1579.9,1586.55,369.627,3592,58.6808125,659096.1238,25.43496021,24.1728205,81757.73,7.13476316,6.482181398,16.65240616,14.57470889,4.755966632,3.97155913
17-Jul-25,1608.55,1609.75,1580.5,1582.7,159.573,6868,25.4383491,657496.7288,25.37323848,24.11416155,82259.24,7.117449594,6.466451419,16.61110267,14.53797834,4.74442557,3.96192155
16-Jul-25,1580,1612.1,1579.8,1608.6,60.718,3183,9.7185965,668256.2949,25.78845734,24.50877631,82634.48,7.233922675,6.572271278,16.8889625,14.78507475,4.82206544,4.026756179
15-Jul-25,1565,1603.8,1565,1584.8,896.68,16746,142.1531072,658369.1261,25.40690488,24.14615734,82570.91,7.126893358,6.475031407,16.63363185,14.55801318,4.750720695,3.967178411
14-Jul-25,1589.2,1593.95,1560,1570.45,1462.073,16995,232.5381376,652407.7449,25.17685119,23.92751943,82253.46,7.062360975,6.416401485,16.47968248,14.42110842,4.70770401,3.931256522
11-Jul-25,1579,1606.95,1563.25,1594.9,360.567,14388,57.3800773,662564.9414,25.5688242,24.30004186,82500.47,7.172313362,6.516297067,16.74198645,14.65437124,4.780997247,3.992461414
10-Jul-25,1637,1637,1607.55,1616.75,771.97,6713,124.84433,671642.0271,25.91911501,24.63295046,83190.28,7.27057347,6.605569806,16.97639716,14.86282903,4.846496519,4.04715781
09-Jul-25,1638.65,1638.65,1624,1633.9,400.089,9116,65.2450597,678766.6047,26.19405722,24.89424942,83536.08,7.347697537,6.675639713,17.16038542,15.02644692,4.897906703,4.090088848
08-Jul-25,1628.2,1646.9,1621.1,1638.65,549.019,14124,89.8273133,680739.8842,26.27020739,24.96662085,83712.51,7.36905843,6.69504683,17.21134427,15.07176383,4.912145676,4.101979369
07-Jul-25,1640,1642.4,1623.05,1627.5,173.344,5459,28.3257444,676107.8702,26.09145488,24.79673844,83442.5,7.318916544,6.649491176,17.09172508,14.96538835,4.878721562,4.074067936
04-Jul-25,1628.15,1643.4,1612.4,1640.2,274.445,8954,44.6580433,681383.7964,26.2950564,24.99023679,83432.89,7.376028827,6.701379679,17.22797295,15.08655145,4.916792077,4.105859434
03-Jul-25,1610,1632,1610,1618.15,95.119,3954,15.4384707,672223.6253,25.94155927,24.65428098,83239.47,7.276869313,6.611289798,16.99141661,14.87618559,4.850693269,4.050662384
02-Jul-25,1616.6,1649,1604,1609.9,466.445,14347,76.0048498,668796.3504,25.80929844,24.52858323,83409.69,7.239768814,6.5775827,16.90290913,14.79747727,4.825962422,4.030010427
01-Jul-25,1601.3,1617,1600.9,1608.15,461.917,15706,74.2607687,668069.3527,25.78124311,24.50192007,83697.29,7.231899011,6.570432709,16.88413482,14.78078157,4.820716485,4.025629709
30-Jun-25,1609.3,1614.95,1594.25,1601.3,187.993,8194,30.1591301,665223.6759,25.67142654,24.39755285,83606.46,7.201094355,6.542445604,16.8106468,14.71542982,4.800182388,4.008482326
27-Jun-25,1602.05,1629.95,1602.05,1608.6,80.596,3636,13.0146508,668256.2949,26.13643206,25.01614551,84058.9,7.746629405,7.052529008,17.0839658,15.02944474,4.892353102,4.099983404
26-Jun-25,1615.45,1624.1,1606.55,1615,187.926,6197,30.3594673,670915.0294,26.24041886,25.11567512,83755.87,7.77745026,7.080588305,17.15341891,15.0915125,4.911817891,4.116295659
25-Jun-25,1592.95,1619.85,1586,1615.5,91.093,3640,14.6346598,671122.7431,26.24854283,25.12345087,82755.51,7.77985814,7.082780437,17.15884494,15.09636154,4.913338578,4.117570054
24-Jun-25,1603.15,1606.4,1577.9,1581.55,930.652,25603,147.669161,657018.9875,25.69692536,24.59547739,82055.11,7.616363133,6.933934634,16.7904179,14.76711148,4.810083954,4.031038637
23-Jun-25,1600,1600.1,1576,1584.7,256.524,8970,40.6966675,658327.5834,25.74810636,24.64446462,81896.79,7.631532772,6.947745069,16.82460185,14.79766046,4.81966428,4.039067325
20-Jun-25,1619,1630,1608.65,1621.85,300.615,11493,48.5866348,673760.7062,26.35171723,25.2222029,82408.17,7.810438207,7.110620522,17.22775544,15.1579444,4.932651299,4.133754869
19-Jun-25,1629.65,1629.65,1612.25,1618.5,188.63,5213,30.5291694,672369.0248,26.29728664,25.17010537,81361.87,7.794305416,7.095933233,17.19140108,15.1254558,4.922462698,4.125216423
18-Jun-25,1615,1644.45,1615,1632.8,659.232,6720,107.8127873,678309.6347,26.52963215,25.39249185,81444.66,7.863170765,7.158628225,17.34658537,15.26413845,4.965954336,4.161664119
17-Jun-25,1619.95,1647.7,1615.2,1640.15,2067.483,30733,338.5826643,681363.0251,26.64905449,25.50679538,81583.3,7.898566591,7.190852575,17.42634793,15.33541939,4.98830843,4.180397724
16-Jun-25,1600,1634.5,1596.8,1623.75,436.434,11680,70.6396707,674550.018,26.38258831,25.25175076,81796.15,7.819588149,7.118950625,17.24837434,15.17637076,4.938429908,4.13859757
13-Jun-25,1571.05,1608.75,1570,1601.55,115.149,5082,18.3486221,665327.5327,26.0218841,24.90650742,81118.6,7.712678306,7.021619938,17.00745886,14.96107323,4.87091142,4.082014435
12-Jun-25,1625.95,1627.5,1598.4,1607.4,176.187,6694,28.4030793,667757.7822,26.11656164,24.9971268,81691.98,7.740742633,7.047169475,17.07069429,15.01758446,4.888633654,4.09686636
11-Jun-25,1594.95,1634.1,1589.95,1630.7,420.095,18115,67.8996777,677427.5651,26.49513318,25.35947161,82515.14,7.852948247,7.149321428,17.32354341,15.24354667,4.95949664,4.156252317
10-Jun-25,1580,1607,1577.7,1596.25,400.5,19033,63.8968178,663116.3002,25.93539973,24.82373003,82391.72,7.687047672,6.998285601,16.94969568,14.90945234,4.854722826,4.068447759
09-Jun-25,1579,1587.9,1570.1,1572.55,292.314,13135,46.1092511,653270.8147,25.55032911,24.4551647,82445.21,7.572915782,6.894379967,16.6925058,14.67961095,4.782643308,4.008042301
